container.title,created,doi,title,type,first.author,authors
The Kestrel,2020-09-01,10.1017/9781108692120.004,Breeding Density and Nest Site Selection,book-chapter,,
The Kestrel,2020-09-01,10.1017/9781108692120.005,"Colourations, Sexual Selection and Mating Behaviour",book-chapter,,
The Kestrel,2020-09-01,10.1017/9781108692120.006,The Reproductive Cycle: From Egg Laying to Offspring Care,book-chapter,,
The Kestrel,2020-09-01,10.1017/9781108692120.007,Ecological Physiology and Immunology,book-chapter,,
The Kestrel,2020-09-01,10.1017/9781108692120.008,Environmental Toxicology,book-chapter,,
The Kestrel,2020-09-01,10.1017/9781108692120.009,Movement Ecology,book-chapter,,
The Kestrel,2020-09-01,10.1017/9781108692120.010,Conservation Status and Population Dynamics,book-chapter,,
The Kestrel,2020-09-01,10.1017/9781108692120.011,Index,book-chapter,,
The Kestrel,2020-09-01,10.1017/9781108692120.012,Plate Section (PDF Only),other,,
The Kestrel,2020-09-01,10.1017/9781108692120.013,Preface,other,,
Scientific Reports,2020-10-12,10.1038/s41598-020-73416-2,Changes in diving behaviour and habitat use of provisioned whale sharks: implications for management,journal-article,Araujo,"Gonzalo Araujo, Jessica Labaja, Sally Snow, Charlie Huveneers, Alessandro Ponzo"
Scientific Reports,2021-07-07,10.1038/s41598-021-93387-2,A random walk model that accounts for space occupation and movements of a large herbivore,journal-article,Berthelot,"Geoffroy Berthelot, Sonia Saïd, Vincent Bansaye"
Bird Study,2019-05-31,10.1080/00063657.2019.1612850,Short-term tracking tag attachment disrupts chick provisioning by Atlantic Puffins<i>Fratercula arctica</i>and Razorbills<i>Alca torda</i>,journal-article,Symons,"Stephanie C. Symons, Antony W. Diamond"
New Zealand Journal of Marine and Freshwater Research,2016-05-17,10.1080/00288330.2016.1152981,Coupling bio-logging with nutritional geometry to reveal novel insights into the foraging behaviour of a plunge-diving marine predator,journal-article,Machovsky-Capuska,"Gabriel E Machovsky-Capuska, David Priddel, Philip HW Leong, Peter Jones, Nicholas Carlile, Lesley Shannon, Dean Portelli, Alistair McEwan, Alexandre V Chaves, David Raubenheimer"
Applied Artificial Intelligence,2017-10-25,10.1080/08839514.2017.1378162,A Comparative Analysis of SVM and IDNN for Identifying Penguin Activities,journal-article,Chessa,"Stefano Chessa, Alessio Micheli, Rita Pucci, Jane Hunter, Gemma Carroll, Rob Harcourt"
Behavioral Ecology,2016-02-19,10.1093/beheco/arw013,Drivers and fitness consequences of dispersive migration in a pelagic seabird,journal-article,Fayet,"Annette L. Fayet, Robin Freeman, Akiko Shoji, Dave Boyle, Holly L. Kirk, Ben J. Dean, Chris M. Perrins, Tim Guilford"
BioScience,2017-08-31,10.1093/biosci/bix098,"Envisioning the Future of Aquatic Animal Tracking: Technology, Science, and Application",journal-article,Lennox,"Robert J. Lennox, Kim Aarestrup, Steven J. Cooke, Paul D. Cowley, Zhiqun D. Deng, Aaron T. Fisk, Robert G. Harcourt, Michelle Heupel, Scott G. Hinch, Kim N. Holland, Nigel E. Hussey, Sara J. Iverson, Steven T. Kessel, John F. Kocik, Martyn C. Lucas, Joanna Mills Flemming, Vivian M. Nguyen, Michael J.W. Stokesbury, Svein Vagle, David L. VanderZwaag, Frederick G. Whoriskey, Nathan Young"
The Condor,2020-05-21,10.1093/condor/duaa029,Implanted satellite transmitters affect sea duck movement patterns at short and long timescales,journal-article,Lamb,"Juliet S Lamb, Peter W C Paton, Jason E Osenkowski, Shannon S Badzinski, Alicia M Berlin, Tim Bowman, Chris Dwyer, Luke J Fara, Scott G Gilliland, Kevin Kenow, Christine Lepage, Mark L Mallory, Glenn H Olsen, Matthew C Perry, Scott A Petrie, Jean-Pierre L Savard, Lucas Savoy, Michael Schummer, Caleb S Spiegel, Scott R McWilliams"
Conservation Physiology,2016-10-19,10.1093/conphys/cow046,Conservation physiology of marine fishes: state of the art and prospects for policy,journal-article,McKenzie,"David J. McKenzie, Michael Axelsson, Denis Chabot, Guy Claireaux, Steven J. Cooke, Richard A. Corner, Gudrun De Boeck, Paolo Domenici, Pedro M. Guerreiro, Bojan Hamer, Christian Jørgensen, Shaun S. Killen, Sjannie Lefevre, Stefano Marras, Basile Michaelidis, Göran E. Nilsson, Myron A. Peck, Angel Perez-Ruzafa, Adriaan D. Rijnsdorp, Holly A. Shiels, John F. Steffensen, Jon C. Svendsen, Morten B. S. Svendsen, Lorna R. Teal, Jaap van der Meer, Tobias Wang, Jonathan M. Wilson, Rod W. Wilson, Julian D. Metcalfe"
Conservation Physiology,2019-03-19,10.1093/conphys/coz011,Bridging disciplines to advance elasmobranch conservation: applications of physiological ecology,journal-article,Lyons,"K Lyons, J S Bigman, D Kacev, C G Mull, A B Carlisle, J L Imhoff, J M Anderson, K C Weng, A S Galloway, E Cave, T R Gunn, C G Lowe, R W Brill, C N Bedore"
Current Zoology,2017-07-28,10.1093/cz/zox047,"Moose at their bioclimatic edge alter their behavior based on weather, landscape, and predators",journal-article,Ditmer,"Mark A Ditmer, Ron A Moen, Steve K Windels, James D Forester, Thomas E Ness, Tara R Harris"
Integrative Organismal Biology,2022-08-27,10.1093/iob/obac038,Fast and Furious: Energetic Tradeoffs and Scaling of High-Speed Foraging in Rorqual Whales,journal-article,Gough,"William T Gough, David E Cade, Max F Czapanskiy, Jean Potvin, Frank E Fish, Shirel R Kahane-Rapport, Matthew S Savoca, K C Bierlich, David W Johnston, Ari S Friedlaender, Andy Szabo, Lars Bejder, Jeremy A Goldbogen"
Royal Society Open Science,2018-08-08,10.1098/rsos.180241,Context-dependent variability in blue whale acoustic behaviour,journal-article,Lewis,"Leah A. Lewis, John Calambokidis, Alison K. Stimpert, James Fahlbusch, Ari S. Friedlaender, Megan F. McKenna, Sarah L. Mesnick, Erin M. Oleson, Brandon L. Southall, Angela R. Szesciorka, Ana Širović"
Royal Society Open Science,2019-01-16,10.1098/rsos.181440,Static landscape features predict uplift locations for soaring birds across Europe,journal-article,Scacco,"Martina Scacco, Andrea Flack, Olivier Duriez, Martin Wikelski, Kamran Safi"
Proceedings of the Royal Society B: Biological Sciences,2009-06-11,10.1098/rspb.2009.0683,Pushed for time or saving on fuel: fine-scale energy budgets shed light on currencies in a diving bird,journal-article,Shepard,"Emily L. C. Shepard, Rory P. Wilson, Flavio Quintana, Agustina Gómez Laich, Dan W. Forman"
Proceedings of the Royal Society B: Biological Sciences,2013-07-17,10.1098/rspb.2013.0836,Travelling light: white sharks (<i>Carcharodon carcharias</i>) rely on body lipid stores to power ocean-basin scale migration,journal-article,Del Raye,"Gen Del Raye, Salvador J. Jorgensen, Kira Krumhansl, Juan M. Ezcurra, Barbara A. Block"
Proceedings of the Royal Society B: Biological Sciences,2020-10-21,10.1098/rspb.2020.1447,Sex-specific variation in the use of vertical habitat by a resident Antarctic top predator,journal-article,Photopoulou,"Theoni Photopoulou, Karine Heerah, Jennifer Pohle, Lars Boehme"
Philosophical Transactions of the Royal Society B: Biological Sciences,2010-06-21,10.1098/rstb.2010.0083,The interpretation of habitat preference metrics under use–availability designs,journal-article,Beyer,"Hawthorne L. Beyer, Daniel T. Haydon, Juan M. Morales, Jacqueline L. Frair, Mark Hebblewhite, Michael Mitchell, Jason Matthiopoulos"
Philosophical Transactions of the Royal Society B: Biological Sciences,2010-06-21,10.1098/rstb.2010.0084,Resolving issues of imprecise and habitat-biased locations in ecological analyses using GPS telemetry data,journal-article,Frair,"Jacqueline L. Frair, John Fieberg, Mark Hebblewhite, Francesca Cagnacci, Nicholas J. DeCesare, Luca Pedrotti"
Philosophical Transactions of the Royal Society B: Biological Sciences,2018-03-26,10.1098/rstb.2017.0012,From single steps to mass migration: the problem of scale in the movement ecology of the Serengeti wildebeest,journal-article,Torney,"Colin J. Torney, J. Grant C. Hopcraft, Thomas A. Morrison, Iain D. Couzin, Simon A. Levin"
NA,2020-01-20,10.1101/2020.01.19.911313,Potential short-term earthquake forecasting by farm-animal monitoring,posted-content,Wikelski,"Martin Wikelski, Uschi Mueller, Paola Scocco, Andrea Catorci, Lev Desinov, Mikhail Belyaev, Daniel Keim, Winfried Pohlmeier, Gerhard Fechteler, P. Martin Mai"
NA,2020-06-16,10.1101/2020.06.15.152009,Sex-specific variation in the use of vertical habitat by a resident Antarctic top predator,posted-content,Photopoulou,"Theoni Photopoulou, Karine Heerah, Jennifer Pohle, Lars Boehme"
NA,2020-07-13,10.1101/2020.07.10.196410,Worth the effort? A practical examination of random effects in hidden Markov models for animal telemetry data,posted-content,McClintock,Brett T. McClintock
NA,2020-08-22,10.1101/2020.08.20.259390,Path tortuosity changes the transport cost paradigm in terrestrial animals,posted-content,Wilson,"R. P. Wilson, K. A. R. Rose, R. S. Metcalfe, M. D. Holton, J. Redcliffe, R. Gunner, L. Börger, A. Loison, J. Miloš, M. S. Painter, V. Silovský, N. Marks, M. Garel, C. Toigo, P. Marchand, N. C. Bennett, M. A. McNarry, K. A. Mackintosh, M. R. Brown, D. M. Scantlebury"
NA,2020-09-01,10.1101/2020.08.28.271700,Wing tags severely impair movement in African Cape Vultures,posted-content,Curk,"Teja Curk, Martina Scacco, Kamran Safi, Martin Wikelski, Wolfgang Fiedler, Ryno Kemp, Kerri Wolter"
NA,2021-02-08,10.1101/2021.02.05.429945,Cardiac and behavioural responses to hypoxia and warming in free-swimming gilthead seabream<i>Sparus aurata</i>,posted-content,Mignucci,"Alexandre Mignucci, Jérôme Bourjea, Fabien Forget, Hossein Allal, Gilbert Dutto, Eric Gasset, David J. McKenzie"
NA,2021-04-30,10.1101/2021.04.27.441641,Animal lifestyle changes acceptable mass limits for attached tags,posted-content,Wilson,"Rory P Wilson, Kayleigh A Rose, Richard Gunner, Mark D. Holton, Nikki J Marks, Nigel C Bennett, Stephen H. Bell, Joshua P Twining, Jamie Hesketh, Carlos M. Duarte, Neil Bezodis, Milos Jezek, Michael Painter, Vaclav Silovsky, Margaret C. Crofoot, Roi Harel, John P. Y. Arnould, Blake M. Allan, Desley A. Whisson, Abdulaziz Alagaili, D. Michael Scantlebury"
NA,2022-10-01,10.1101/2022.09.29.509951,Clarifying space use concepts in ecology: range vs. occurrence distributions,posted-content,Alston,"Jesse M. Alston, Christen H. Fleming, Michael J. Noonan, Marlee A. Tucker, Inês Silva, Cody Folta, Thomas S.B. Akre, Abdullahi H. Ali, Jerrold L. Belant, Dean Beyer, Niels Blaum, Katrin Böhning-Gaese, Rogerio Cunha de Paula, Jasja Dekker, Jonathan Drescher-Lehman, Nina Farwig, Claudia Fichtel, Christina Fischer, Adam T. Ford, René Janssen, Florian Jeltsch, Peter M. Kappeler, Scott D. LaPoint, A. Catherine Markham, E. Patricia Medici, Ronaldo Gonçalves Morato, Ran Nathan, Kirk A. Olson, Bruce D. Patterson, Tyler R. Petroelje, Emiliano Esterci Ramalho, Sascha Rösner, Luiz Gustavo Oliveira Santos, Dana G. Schabo, Nuria Selva, Agnieszka Sergiel, Orr Spiegel, Wiebke Ullmann, Filip Zieba, Tomasz Zwijacz-Kozica, George Wittemyer, William F. Fagan, Thomas Müller, Justin M. Calabrese"
NA,2017-12-23,10.1101/237891,Going through the motions: incorporating movement analyses into disease research,posted-content,Dougherty,"Eric R. Dougherty, Dana P. Seidel, Colin J. Carlson, Orr Spiegel, Wayne M. Getz"
2021 IEEE VIS Arts Program (VISAP),2021-11-24,10.1109/visap52981.2021.00007,"Visualizing Life in the Deep: A Creative Pipeline for Data-Driven Animations to Facilitate Marine Mammal Research, Outreach, and Conservation",proceedings-article,Kendall-Bar,"Jessica Kendall-Bar, Nicolas Kendall-Bar, Angus G. Forbes, Gitte McDonald, Paul J. Ponganis, Cassondra Williams, Markus Horning, Allyson Hindle, Holger Klinck, Roxanne S. Beltran, Ari S. Friedlaender, David Wiley, Daniel P. Costa, Terrie M. Williams"
Functional Ecology,2021-06-06,10.1111/1365-2435.13852,Confronting assumptions about prey selection by lunge‐feeding whales using a process‐based model,journal-article,Chenoweth,"Ellen M. Chenoweth, Kevin M. Boswell, Ari S. Friedlaender, Megan V. McPhee, Julia A. Burrows, Ron A. Heintz, Jan M. Straley"
Journal of Animal Ecology,2017-01-24,10.1111/1365-2656.12636,Reproductive success is driven by local site fidelity despite stronger specialisation by individuals for large‐scale habitat preference,journal-article,Patrick,"Samantha Clare Patrick, Henri Weimerskirch"
Journal of Animal Ecology,2017-04-04,10.1111/1365-2656.12674,"A framework for modelling range shifts and migrations: asking when, whither, whether and will it return",journal-article,Gurarie,"Eliezer Gurarie, Francesca Cagnacci, Wibke Peters, Christen H. Fleming, Justin M. Calabrese, Thomas Mueller, William F. Fagan"
Journal of Animal Ecology,2018-03-26,10.1111/1365-2656.12830,Central place foragers and moving stimuli: A hidden-state model to discriminate the processes affecting movement,journal-article,Pirotta,"Enrico Pirotta, Ewan W. J. Edwards, Leslie New, Paul M. Thompson"
Journal of Applied Ecology,2016-07-20,10.1111/1365-2664.12755,Integrating research using animal-borne telemetry with the needs of conservation management,journal-article,McGowan,"Jennifer McGowan, Maria Beger, Rebecca L. Lewison, Rob Harcourt, Hamish Campbell, Mark Priest, Ross G. Dwyer, Hsien-Yung Lin, Pia Lentini, Christine Dudgeon, Clive McMahon, Matt Watts, Hugh P. Possingham"
Journal of Applied Ecology,2022-01-13,10.1111/1365-2664.14114,Integrated modelling of seabird‐habitat associations from multi‐platform data: A review,journal-article,Matthiopoulos,"Jason Matthiopoulos, Ewan Wakefield, Jana W. E. Jeglinski, Robert W. Furness, Mark Trinder, Glen Tyler, Aly Mccluskie, Sophy Allen, Janelle Braithwaite, Tom Evans"
Methods in Ecology and Evolution,2013-06-18,10.1111/2041-210x.12075,Designing observational biologging studies to assess the causal effect of instrumentation,journal-article,Authier,"Matthieu Authier, Clara Péron, Alain Mante, Patrick Vidal, David Grémillet"
Methods in Ecology and Evolution,2016-09-20,10.1111/2041-210x.12658,Uncovering behavioural states from animal activity and site fidelity patterns,journal-article,Mahoney,"Peter J. Mahoney, Julie K. Young"
Methods in Ecology and Evolution,2017-04-05,10.1111/2041-210x.12787,From animal tracks to fine‐scale movement modes: a straightforward approach for identifying multiple spatial movement patterns,journal-article,Morelle,"Kevin Morelle, Nils Bunnefeld, Philippe Lejeune, Stephen A. Oswald"
Methods in Ecology and Evolution,2020-01-25,10.1111/2041-210x.13356,The neglected impact of tracking devices on terrestrial arthropods,journal-article,Batsleer,"Femke Batsleer, Dries Bonte, Daan Dekeukeleire, Steven Goossens, Ward Poelmans, Eliane Van der Cruyssen, Dirk Maes, Martijn L. Vandegehuchte"
Methods in Ecology and Evolution,2020-06-16,10.1111/2041-210x.13435,The welfare and ethics of research involving wild animals: A primer,journal-article,Soulsbury,"Carl D. Soulsbury, Helen E. Gray, Lauren M. Smith, Victoria Braithwaite, Sheena C. Cotter, Robert W. Elwood, Anna Wilkinson, Lisa M. Collins"
Methods in Ecology and Evolution,2021-05-05,10.1111/2041-210x.13619,Worth the effort? A practical examination of random effects in hidden Markov models for animal telemetry data,journal-article,McClintock,Brett T. McClintock
Biological Reviews,2022-03-02,10.1111/brv.12844,Frontiers in quantifying wildlife behavioural responses to chemical pollution,journal-article,Bertram,"Michael G. Bertram, Jake M. Martin, Erin S. McCallum, Lesley A. Alton, Jack A. Brand, Bryan W. Brooks, Daniel Cerveny, Jerker Fick, Alex T. Ford, Gustav Hellström, Marcus Michelangeli, Shinichi Nakagawa, Giovanni Polverino, Minna Saaristo, Andrew Sih, Hung Tan, Charles R. Tyler, Bob B.M. Wong, Tomas Brodin"
Ecography,2020-04-09,10.1111/ecog.04939,Modelled mid‐trophic pelagic prey fields improve understanding of marine predator foraging behaviour,journal-article,Green,"D. B. Green, S. Bestley, R. Trebilco, S. P. Corney, P. Lehodey, C. R. McMahon, C. Guinet, Mark A. Hindell"
Ecology Letters,2013-08-16,10.1111/ele.12165,Spatial memory and animal movement,journal-article,Fagan,"William F. Fagan, Mark A. Lewis, Marie Auger-Méthé, Tal Avgar, Simon Benhamou, Greg Breed, Lara LaDage, Ulrike E. Schlägel, Wen-wu Tang, Yannis P. Papastamatiou, James Forester, Thomas Mueller"
Ecology Letters,2018-02-15,10.1111/ele.12917,Going through the motions: incorporating movement analyses into disease research,journal-article,Dougherty,"Eric R. Dougherty, Dana P. Seidel, Colin J. Carlson, Orr Spiegel, Wayne M. Getz"
Ecology Letters,2022-07-06,10.1111/ele.14032,Defining an epidemiological landscape that connects movement ecology to pathogen transmission and pace‐of‐life,journal-article,Manlove,"Kezia Manlove, Mark Wilber, Lauren White, Guillaume Bastille‐Rousseau, Anni Yang, Marie L. J. Gilbertson, Meggan E. Craft, Paul C. Cross, George Wittemyer, Kim M. Pepin"
Fish and Fisheries,2021-06-01,10.1111/faf.12568,A review and tests of validation and sensitivity of geolocation models for marine fish tracking,journal-article,Gatti,"Paul Gatti, Jonathan A. D. Fisher, Frédéric Cyr, Peter S. Galbraith, Dominique Robert, Arnault Le Bris"
Global Change Biology,2019-11-01,10.1111/gcb.14902,Towards the integration of animal‐borne instruments into global ocean observing systems,journal-article,March,"David March, Lars Boehme, Joaquín Tintoré, Pedro Joaquín Vélez‐Belchi, Brendan J. Godley"
Ibis,2018-12-05,10.1111/ibi.12697,Individual differences in foraging site fidelity are not related to time‐activity budgets in Herring Gulls,journal-article,Van Donk,"Susanne Van Donk, Judy Shamoun‐Baranes, Willem Bouten, Jaap Van Der Meer, Kees C. J. Camphuysen"
Journal of Avian Biology,2014-03-18,10.1111/jav.00361,"Foraging movements of Leach's storm-petrels <i>Oceanodroma leucorhoa</i>
 during incubation",journal-article,Pollet,"Ingrid L. Pollet, Robert A. Ronconi, Ian. D. Jonsen, Marty L. Leonard, Philip D. Taylor, Dave Shutler"
Journal of Avian Biology,2015-11-19,10.1111/jav.00828,Directed flight and optimal airspeeds: homeward-bound gulls react flexibly to wind yet fly slower than predicted,journal-article,McLaren,"James D. McLaren, Judy Shamoun-Baranes, C. J. Camphuysen, Willem Bouten"
Journal of Avian Biology,2019-11-12,10.1111/jav.02235,"Dynamic body acceleration increases by 20% during flight ontogeny of greylag geese
            <i>Anser anser</i>",journal-article,Gatt,"Marie Claire Gatt, Michael Quetting, Yachang Cheng, Martin Wikelski"
Journal of Avian Biology,2020-01-10,10.1111/jav.02392,Goose parents lead migration V,journal-article,Kölzsch,"A. Kölzsch, A. Flack, G. J. D. M. Müskens, H. Kruckenberg, P. Glazov, M. Wikelski"
Marine Mammal Science,2016-04-25,10.1111/mms.12323,Use of time‐at‐temperature data to describe dive behavior in five species of sympatric deep‐diving toothed whales,journal-article,Joyce,"Trevor W. Joyce, John W. Durban, Holly Fearnbach, Diane Claridge, Lisa T. Ballance"
Marine Mammal Science,2016-07-11,10.1111/mms.12332,An evaluation of behavior inferences from Bayesian state‐space models: A case study with the Pacific walrus,journal-article,Beatty,"William S. Beatty, Chadwick V. Jay, Anthony S. Fischbach"
Marine Mammal Science,2022-04-25,10.1111/mms.12932,Morphology and physiology in some small pelagic cetaceans: Is Dall's porpoise a deep diver and a thoroughbred of the sea?,journal-article,Ponganis,"Paul J. Ponganis, Yoshihiro Fujise, Nobuyuki Miyazaki"
Oikos,2019-12-24,10.1111/oik.06853,From pup to predator: generalized hidden Markov models reveal rapid development of movement strategies in a naïve long‐lived vertebrate,journal-article,Carter,"Matt I. D. Carter, Brett T. McClintock, Clare B. Embling, Kimberley A. Bennett, Dave Thompson, Debbie J. F. Russell"
Transactions in GIS,2021-06-09,10.1111/tgis.12770,Transferring decision boundaries onto a geographic space: Agent rules extracted from movement data using classification trees,journal-article,Patel,"Jugal Patel, Jeffrey Katan, Liliana Perez, Raja Sengupta"
Science Advances,2017-09-28,10.1126/sciadv.1700097,"Asymmetry hidden in birds’ tracks reveals wind, heading, and orientation ability over the ocean",journal-article,Goto,"Yusuke Goto, Ken Yoda, Katsufumi Sato"
Canadian Journal of Fisheries and Aquatic Sciences,2016-02-03,10.1139/cjfas-2015-0323,Energetic costs of activity in wild lake trout: a calibration study using acceleration transmitters and positional telemetry,journal-article,Cruz-Font,"Liset Cruz-Font, Brian J. Shuter, Paul J. Blanchfield"
Canadian Journal of Zoology,2015-07-23,10.1139/cjz-2014-0311,Using morphology to infer physiology: case studies on rorqual whales (Balaenopteridae),journal-article,Goldbogen,"Jeremy A. Goldbogen, Robert E. Shadwick, Margo A. Lillie, Marina A. Piscitelli, Jean Potvin, Nicholas D. Pyenson, A. Wayne Vogl"
Journal of Biological Systems,2015-08-26,10.1142/s0218339015400045,MODELLING FREE-RANGE CATTLE MOVEMENTS IN FORESTS USING MULTISTATE RANDOM WALKS,journal-article,SEOANE,NICOLAS SEOANE
Proceedings of the 12th International Symposium on Visual Information Communication and Interaction,2019-11-18,10.1145/3356422.3356435,Visual Analytics for Cheetah Behaviour Analysis,proceedings-article,Klein,"Karsten Klein, Sabrina Jaeger, Jörg Melzheimer, Bettina Wachter, Heribert Hofer, Artur Baltabayev, Falk Schreiber"
Annual Review of Physiology,2004-02-11,10.1146/annurev.physiol.66.032102.114245,Field Physiology: Physiological Insights from Animals in Nature,journal-article,Costa,"Daniel P. Costa, Barry Sinervo"
Journal of Applied Physiology,2020-04-23,10.1152/japplphysiol.00846.2019,Diving deep: understanding the genetic components of hypoxia tolerance in marine mammals,journal-article,Hindle,Allyson G. Hindle
Physiology,2014-05-01,10.1152/physiol.00049.2013,"Adaptation to Heat and Water Shortage in Large, Arid-Zone Mammals",journal-article,Fuller,"Andrea Fuller, Robyn S. Hetem, Shane K. Maloney, Duncan Mitchell"
Animal Biotelemetry,2017-02-08,10.1186/s40317-016-0117-4,Was my science project eaten? A novel approach to validate consumption of marine biologging instruments,journal-article,Tolentino,"Emily R. Tolentino, Russell P. Howey, Lucy A. Howey, Lance K. B. Jordan, R. Dean Grubbs, Annabelle Brooks, Sean Williams, Edward J. Brooks, Oliver N. Shipley"
Animal Biotelemetry,2017-06-08,10.1186/s40317-017-0128-9,Best practice recommendations for the use of fully implanted telemetry devices in pinnipeds,journal-article,Horning,"Markus Horning, Martin Haulena, Pamela A. Tuomi, Jo-Ann E. Mellish, Caroline E. Goertz, Kathleen Woodie, Rachel K. Berngartt, Shawn Johnson, Courtney R. Shuert, Kristen A. Walker, John P. Skinner, Peter L. Boveng"
Animal Biotelemetry,2020-01-15,10.1186/s40317-019-0191-5,Effects of bio-loggers on behaviour and corticosterone metabolites of Northern Bald Ibises (Geronticus eremita) in the field and in captivity,journal-article,Puehringer-Sturmayr,"Verena Puehringer-Sturmayr, Matthias-Claudio A. Loretto, Josef Hemetsberger, Tanja Czerny, Johannes Gschwandegger, Madelaine Leitsberger, Kurt Kotrschal, Didone Frigerio"
Animal Biotelemetry,2020-08-03,10.1186/s40317-020-00214-y,Seasonal activity levels of a farm-island population of striated caracaras (Phalcoboenus australis) in the Falkland Islands,journal-article,Harrington,"Katie J. Harrington, James A. Fahlbusch, Roland Langrock, Jean-François Therrien, Jennifer L. Houtz, Birgitte I. McDonald"
Animal Biotelemetry,2021-03-09,10.1186/s40317-021-00234-2,Wing tags severely impair movement in African Cape Vultures,journal-article,Curk,"Teja Curk, Martina Scacco, Kamran Safi, Martin Wikelski, Wolfgang Fiedler, Ryno Kemp, Kerri Wolter"
Animal Biotelemetry,2021-10-21,10.1186/s40317-021-00267-7,Head-mounted accelerometry accurately detects prey capture in California sea lions,journal-article,Cole,"Mason R. Cole, Jenifer A. Zeligs, Stefani Skrovan, Birgitte I. McDonald"
Movement Ecology,2016-09-23,10.1186/s40462-016-0088-3,"A spherical-plot solution to linking acceleration metrics with animal performance, state, behaviour and lifestyle",journal-article,Wilson,"Rory P. Wilson, Mark D. Holton, James S. Walker, Emily L. C. Shepard, D. Mike Scantlebury, Vianney L. Wilson, Gwendoline I. Wilson, Brenda Tysse, Mike Gravenor, Javier Ciancio, Melitta A. McNarry, Kelly A. Mackintosh, Lama Qasem, Frank Rosell, Patricia M. Graf, Flavio Quintana, Agustina Gomez-Laich, Juan-Emilio Sala, Christina C. Mulvenna, Nicola J. Marks, Mark W. Jones"
Movement Ecology,2017-11-22,10.1186/s40462-017-0115-z,"Quantifying animal movement for caching foragers: the path identification index (PII) and cougars, Puma concolor",journal-article,Ironside,"Kirsten E. Ironside, David J. Mattson, Tad Theimer, Brian Jansen, Brandon Holton, Terence Arundel, Michael Peters, Joseph O. Sexton, Thomas C. Edwards"
Movement Ecology,2020-02-07,10.1186/s40462-020-0194-0,Effects of age on foraging behavior in two closely related albatross species,journal-article,Frankish,"Caitlin K. Frankish, Andrea Manica, Richard A. Phillips"
Movement Ecology,2021-02-20,10.1186/s40462-021-00242-0,A hierarchical machine learning framework for the analysis of large scale animal movement data,journal-article,Torney,"Colin J. Torney, Juan M. Morales, Dirk Husmeier"
Movement Ecology,2022-06-20,10.1186/s40462-022-00328-3,Timing is critical: consequences of asynchronous migration for the performance and destination of a long-distance migrant,journal-article,Acácio,"Marta Acácio, Inês Catry, Andrea Soriano-Redondo, João Paulo Silva, Philip W. Atkinson, Aldina M. A. Franco"
"Marine Biology,Biology of Sharks and Their Relatives, Second Edition",2012-05-24,10.1201/b11867-12,Integrative Multisensor Tagging,book-chapter,Whitney,"Nicholas Whitney, Yannis Papastamatiou, Adrian Gleiss"
An Introduction to Fish Migration,2016-04-01,10.1201/b21321-17,Michal Janáč and Martin Reichard 12. Methodologies for Investigating Diadromous Fish Movements:,book-chapter,,
Journal of Experimental Biology,2015-10-21,10.1242/jeb.118109,Fishing for drifts: detecting buoyancy changes of a top marine predator using a step-wise filtering method,journal-article,Gordine,"Samantha Alex Gordine, Michael Fedak, Lars Boehme"
Journal of Experimental Biology,2016-10-19,10.1242/jeb.143867,"The private life of echidnas: using accelerometry and GPS to examine field biomechanics and assess the ecological impact of a widespread, semi-fossorial monotreme",journal-article,Clemente,"Christofer J. Clemente, Christine E. Cooper, Philip C. Withers, Craig Freakley, Surya Singh, Philip Terrill"
Journal of Experimental Biology,2017-04-19,10.1242/jeb.146779,Heart rate regulation in diving sea lions: the vagus nerve rules,journal-article,Ponganis,"Paul J. Ponganis, Birgitte I. McDonald, Michael S. Tift, Cassondra L. Williams"
Journal of Experimental Biology,2017-02-07,10.1242/jeb.152314,Flipper stroke rate and venous oxygen levels in free-ranging California sea lions,journal-article,Tift,"Michael S. Tift, Luis A. Hückstädt, Birgitte I. McDonald, Philip H. Thorson, Paul J. Ponganis"
Journal of Experimental Biology,2018-10-15,10.1242/jeb.184085,High accuracy at low frequency: detailed behavioural classification from accelerometer data,journal-article,Tatler,"Jack Tatler, Phillip Cassey, Thomas A. A. Prowse"
Journal of Experimental Biology,2020-09-24,10.1242/jeb.222109,Extreme diving in mammals: first estimates of behavioural aerobic dive limits in Cuvier's beaked whales,journal-article,Quick,"Nicola J. Quick, William R. Cioffi, Jeanne M. Shearer, Andreas Fahlman, Andrew J. Read"
PLoS ONE,2009-03-04,10.1371/journal.pone.0004711,A Parsimonious Approach to Modeling Animal Movement Data,journal-article,Tremblay,"Yann Tremblay, Patrick W. Robinson, Daniel P. Costa"
PLoS ONE,2012-04-13,10.1371/journal.pone.0034317,The Effects of Spatially Heterogeneous Prey Distributions on Detection Patterns in Foraging Seabirds,journal-article,Miramontes,"Octavio Miramontes, Denis Boyer, Frederic Bartumeus"
PLoS ONE,2012-11-21,10.1371/journal.pone.0050429,Evaluating the Impact of Handling and Logger Attachment on Foraging Parameters and Physiology in Southern Rockhopper Penguins,journal-article,Ludynia,"Katrin Ludynia, Nina Dehnhard, Maud Poisbleau, Laurent Demongin, Juan F. Masello, Petra Quillfeldt"
PLOS ONE,2015-02-18,10.1371/journal.pone.0117997,Utilisation of Intensive Foraging Zones by Female Australian Fur Seals,journal-article,Hoskins,"Andrew J. Hoskins, Daniel P. Costa, John P. Y. Arnould"
