PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
35177194,Predictors of Left Main Coronary Artery Disease in the ISCHEMIA Trial,"Senior R, Reynolds HR, Min JK, Berman DS, Picard MH, Chaitman BR, Shaw LJ, Page CB, Govindan SC, Lopez-Sendon J, Peteiro J, Wander GS, Drozdz J, Marin-Neto J, Selvanayagam JB, Newman JD, Thuaire C, Christopher J, Jang JJ, Kwong RY, Bangalore S, Stone GW, O'Brien SM, Boden WE, Maron DJ, Hochman JS; ISCHEMIA Research Group.",J Am Coll Cardiol. 2022 Feb 22;79(7):651-661. doi: 10.1016/j.jacc.2021.11.052.,Senior R,J Am Coll Cardiol,2022,2/18/22,PMC8875308,NIHMS1767313,10.1016/j.jacc.2021.11.052
10308309,Telephone biotelemetry,Suthasinekul S.,J Clin Eng. 1978 Apr-Jun;3(2):137-44. doi: 10.1097/00004669-197804000-00006.,Suthasinekul S,J Clin Eng,1978,3/13/78,,,10.1097/00004669-197804000-00006
26677196,Infection and Stroke: an Update on Recent Progress,"Miller EC, Elkind MS.",Curr Neurol Neurosci Rep. 2016 Jan;16(1):2. doi: 10.1007/s11910-015-0602-9.,Miller EC,Curr Neurol Neurosci Rep,2016,12/18/15,PMC6440211,NIHMS1014568,10.1007/s11910-015-0602-9
25833384,Utility of biological sensor tags in animal conservation,"Wilson ADM, Wikelski M, Wilson RP, Cooke SJ.",Conserv Biol. 2015 Aug;29(4):1065-1075. doi: 10.1111/cobi.12486. Epub 2015 Mar 31.,Wilson ADM,Conserv Biol,2015,4/3/15,,,10.1111/cobi.12486
28718666,Atrial cardiopathy: a mechanism of cryptogenic stroke,"Yaghi S, Kamel H, Elkind MSV.",Expert Rev Cardiovasc Ther. 2017 Aug;15(8):591-599. doi: 10.1080/14779072.2017.1355238. Epub 2017 Jul 27.,Yaghi S,Expert Rev Cardiovasc Ther,2017,7/19/17,PMC6092961,NIHMS1500809,10.1080/14779072.2017.1355238
30573193,Early Career Researchers Embrace Data Sharing,"Campbell HA, Micheli-Campbell MA, Udyawer V.",Trends Ecol Evol. 2019 Feb;34(2):95-98. doi: 10.1016/j.tree.2018.11.010. Epub 2018 Dec 17.,Campbell HA,Trends Ecol Evol,2019,12/22/18,,,10.1016/j.tree.2018.11.010
27421239,"Diving physiology of seabirds and marine mammals: Relevance, challenges and some solutions for field studies","Andrews RD, Enstipp MR.",Comp Biochem Physiol A Mol Integr Physiol. 2016 Dec;202:38-52. doi: 10.1016/j.cbpa.2016.07.004. Epub 2016 Jul 13.,Andrews RD,Comp Biochem Physiol A Mol Integr Physiol,2016,7/17/16,,,10.1016/j.cbpa.2016.07.004
27063208,Remote bioenergetics measurements in wild fish: Opportunities and challenges,"Cooke SJ, Brownscombe JW, Raby GD, Broell F, Hinch SG, Clark TD, Semmens JM.",Comp Biochem Physiol A Mol Integr Physiol. 2016 Dec;202:23-37. doi: 10.1016/j.cbpa.2016.03.022. Epub 2016 Apr 6.,Cooke SJ,Comp Biochem Physiol A Mol Integr Physiol,2016,4/12/16,,,10.1016/j.cbpa.2016.03.022
33884888,Standardizing the Definition and Analysis Methodology for Complete Coronary Artery Revascularization,"Ali ZA, Horst J, Gaba P, Shaw LJ, Bangalore S, Hochman JS, Maron DJ, Moses JW, Alfonso MA, Madhavan MV, Dressler O, Reynolds H, Stone GW.",J Am Heart Assoc. 2021 May 4;10(9):e020110. doi: 10.1161/JAHA.120.020110. Epub 2021 Apr 22.,Ali ZA,J Am Heart Assoc,2021,4/22/21,PMC8200725,,10.1161/JAHA.120.020110
35380967,"In-Vitro Demonstration of Ultra-Reliable, Wireless and Batteryless Implanted Intracranial Sensors Operated on Loci of Exceptional Points","Yang M, Ye Z, Alsaab N, Farhat M, Chen PY.",IEEE Trans Biomed Circuits Syst. 2022 Apr;16(2):287-295. doi: 10.1109/TBCAS.2022.3164697. Epub 2022 May 19.,Yang M,IEEE Trans Biomed Circuits Syst,2022,4/5/22,,,10.1109/TBCAS.2022.3164697
34657296,A guide to pre-processing high-throughput animal tracking data,"Gupte PR, Beardsworth CE, Spiegel O, Lourie E, Toledo S, Nathan R, Bijleveld AI.",J Anim Ecol. 2022 Feb;91(2):287-307. doi: 10.1111/1365-2656.13610. Epub 2021 Nov 16.,Gupte PR,J Anim Ecol,2022,10/17/21,PMC9299236,,10.1111/1365-2656.13610
28212074,"A Review of In-Body Biotelemetry Devices: Implantables, Ingestibles, and Injectables","Kiourti A, Nikita KS.",IEEE Trans Biomed Eng. 2017 Jul;64(7):1422-1430. doi: 10.1109/TBME.2017.2668612. Epub 2017 Feb 14.,Kiourti A,IEEE Trans Biomed Eng,2017,2/18/17,,,10.1109/TBME.2017.2668612
15207033,Common husbandry-related variables in biomedical research with animals,Reinhardt V.,Lab Anim. 2004 Jul;38(3):213-35. doi: 10.1258/002367704323133600.,Reinhardt V,Lab Anim,2004,6/23/04,,,10.1258/002367704323133600
35910299,Ecological inference using data from accelerometers needs careful protocols,"Garde B, Wilson RP, Fell A, Cole N, Tatayah V, Holton MD, Rose KAR, Metcalfe RS, Robotka H, Wikelski M, Tremblay F, Whelan S, Elliott KH, Shepard ELC.",Methods Ecol Evol. 2022 Apr;13(4):813-825. doi: 10.1111/2041-210X.13804. Epub 2022 Feb 7.,Garde B,Methods Ecol Evol,2022,8/1/22,PMC9303593,,10.1111/2041-210X.13804
35852382,Using piecewise regression to identify biological phenomena in biotelemetry datasets,"Wolfson DW, Andersen DE, Fieberg JR.",J Anim Ecol. 2022 Sep;91(9):1755-1769. doi: 10.1111/1365-2656.13779. Epub 2022 Jul 31.,Wolfson DW,J Anim Ecol,2022,7/19/22,PMC9540865,,10.1111/1365-2656.13779
35880219,Baleen whale inhalation variability revealed using animal-borne video tags,"Nazario EC, Cade DE, Bierlich KC, Czapanskiy MF, Goldbogen JA, Kahane-Rapport SR, van der Hoop JM, San Luis MT, Friedlaender AS.",PeerJ. 2022 Jul 20;10:e13724. doi: 10.7717/peerj.13724. eCollection 2022.,Nazario EC,PeerJ,2022,7/26/22,PMC9308462,,10.7717/peerj.13724
32573278,The use of biotelemetry to explore disease progression markers in amyotrophic lateral sclerosis,"Kelly M, Lavrov A, Garcia-Gancedo L, Parr J, Hart R, Chiwera T, Shaw CE, Al-Chalabi A, Marsden R, Turner MR, Talbot K.",Amyotroph Lateral Scler Frontotemporal Degener. 2020 Nov;21(7-8):563-573. doi: 10.1080/21678421.2020.1773501. Epub 2020 Jun 23.,Kelly M,Amyotroph Lateral Scler Frontotemporal Degener,2020,6/24/20,,,10.1080/21678421.2020.1773501
10493158,Biotelemetry: an original approach to experimental models of inflammation,"Gegout-Pottie P, Philippe L, Simonin MA, Guingamp C, Gillet P, Netter P, Terlain B.",Inflamm Res. 1999 Aug;48(8):417-24. doi: 10.1007/s000110050481.,Gegout-Pottie P,Inflamm Res,1999,9/24/99,,,10.1007/s000110050481
10105988,Cellular communication,Koehler GA.,Emerg Med Serv. 1990 Sep;19(9):13-4.,Koehler GA,Emerg Med Serv,1990,9/1/90,,,
25324344,Bottlenose dolphins modify behavior to reduce metabolic effect of tag attachment,"van der Hoop JM, Fahlman A, Hurst T, Rocho-Levine J, Shorter KA, Petrov V, Moore MJ.",J Exp Biol. 2014 Dec 1;217(Pt 23):4229-36. doi: 10.1242/jeb.108225. Epub 2014 Oct 16.,van der Hoop JM,J Exp Biol,2014,10/18/14,,,10.1242/jeb.108225
35430873,The IFNγ-PDL1 Pathway Enhances CD8T-DCT Interaction to Promote Hypertension,"Benson LN, Liu Y, Wang X, Xiong Y, Rhee SW, Guo Y, Deck KS, Mora CJ, Li LX, Huang L, Andrews JT, Qin Z, Hoover RS, Ko B, Williams RM, Heller DA, Jaimes EA, Mu S.",Circ Res. 2022 May 13;130(10):1550-1564. doi: 10.1161/CIRCRESAHA.121.320373. Epub 2022 Apr 18.,Benson LN,Circ Res,2022,4/18/22,PMC9106883,NIHMS1796059,10.1161/CIRCRESAHA.121.320373
1234513,Multichannel biotelemetry,Kimmich HP.,Biotelemetry. 1975;2(3-4):207-55.,Kimmich HP,Biotelemetry,1975,1/1/75,,,
30101534,Sensory mechanisms of natal stream imprinting and homing in Oncorhynchus spp,Ueda H.,J Fish Biol. 2019 Jul;95(1):293-303. doi: 10.1111/jfb.13775. Epub 2018 Nov 22.,Ueda H,J Fish Biol,2019,8/14/18,,,10.1111/jfb.13775
30640625,Immune-to-Detuning Wireless In-Body Platform for Versatile Biotelemetry Applications,"Nikolayev D, Zhadobov M, Sauleau R.",IEEE Trans Biomed Circuits Syst. 2019 Apr;13(2):403-412. doi: 10.1109/TBCAS.2019.2892330. Epub 2019 Jan 11.,Nikolayev D,IEEE Trans Biomed Circuits Syst,2019,1/15/19,,,10.1109/TBCAS.2019.2892330
35834463,Evolution of Biotelemetry in Medical Devices: From Radio Pills to mm-Scale Implants,Valente V.,IEEE Trans Biomed Circuits Syst. 2022 Aug;16(4):580-599. doi: 10.1109/TBCAS.2022.3190767. Epub 2022 Oct 12.,Valente V,IEEE Trans Biomed Circuits Syst,2022,7/14/22,,,10.1109/TBCAS.2022.3190767
33109371,Cancer risk landscapes: A framework to study cancer in ecosystems,"Dujon AM, Ujvari B, Thomas F.",Sci Total Environ. 2021 Apr 1;763:142955. doi: 10.1016/j.scitotenv.2020.142955. Epub 2020 Oct 14.,Dujon AM,Sci Total Environ,2021,10/28/20,,,10.1016/j.scitotenv.2020.142955
21105893,Animal models of psychogenic cardiovascular disorders: what we can learn from them and what we cannot,Nalivaiko E.,Clin Exp Pharmacol Physiol. 2011 Feb;38(2):115-25. doi: 10.1111/j.1440-1681.2010.05465.x.,Nalivaiko E,Clin Exp Pharmacol Physiol,2011,11/26/10,,,10.1111/j.1440-1681.2010.05465.x
36350893,A simple intuitive method for seeking intersections of hyperbolas for acoustic positioning biotelemetry,"Takagi J, Kanazawa H, Ichikawa K, Mitamura H.",PLoS One. 2022 Nov 9;17(11):e0276289. doi: 10.1371/journal.pone.0276289. eCollection 2022.,Takagi J,PLoS One,2022,11/9/22,PMC9645641,,10.1371/journal.pone.0276289
35843990,MoveApps: a serverless no-code analysis platform for animal tracking data,"Kölzsch A, Davidson SC, Gauggel D, Hahn C, Hirt J, Kays R, Lang I, Lohr A, Russell B, Scharf AK, Schneider G, Vinciguerra CM, Wikelski M, Safi K.",Mov Ecol. 2022 Jul 18;10(1):30. doi: 10.1186/s40462-022-00327-4.,Kölzsch A,Mov Ecol,2022,7/17/22,PMC9290230,,10.1186/s40462-022-00327-4
27766156,Conservation physiology of marine fishes: state of the art and prospects for policy,"McKenzie DJ, Axelsson M, Chabot D, Claireaux G, Cooke SJ, Corner RA, De Boeck G, Domenici P, Guerreiro PM, Hamer B, Jørgensen C, Killen SS, Lefevre S, Marras S, Michaelidis B, Nilsson GE, Peck MA, Perez-Ruzafa A, Rijnsdorp AD, Shiels HA, Steffensen JF, Svendsen JC, Svendsen MB, Teal LR, van der Meer J, Wang T, Wilson JM, Wilson RW, Metcalfe JD.",Conserv Physiol. 2016 Oct 18;4(1):cow046. doi: 10.1093/conphys/cow046. eCollection 2016.,McKenzie DJ,Conserv Physiol,2016,10/22/16,PMC5070530,,10.1093/conphys/cow046
34315256,Locomotor compromises maintain group cohesion in baboon troops on the move,"Harel R, Loftus JC, Crofoot MC.",Proc Biol Sci. 2021 Jul 28;288(1955):20210839. doi: 10.1098/rspb.2021.0839. Epub 2021 Jul 28.,Harel R,Proc Biol Sci,2021,7/28/21,PMC8316813,,10.1098/rspb.2021.0839
35899700,Costs and outcomes of mobile cardiac outpatient telemetry monitoring post-transcatheter aortic valve replacement,"Mohr BA, Wadhwa M, Medic G, Lavelle J, Buchenberger JD, Norlock V.",J Comp Eff Res. 2022 Oct;11(14):1045-1055. doi: 10.2217/cer-2022-0112. Epub 2022 Jul 28.,Mohr BA,J Comp Eff Res,2022,7/28/22,,,10.2217/cer-2022-0112
32123201,Dietary prebiotics alter novel microbial dependent fecal metabolites that improve sleep,"Thompson RS, Vargas F, Dorrestein PC, Chichlowski M, Berg BM, Fleshner M.",Sci Rep. 2020 Mar 2;10(1):3848. doi: 10.1038/s41598-020-60679-y.,Thompson RS,Sci Rep,2020,3/4/20,PMC7051969,,10.1038/s41598-020-60679-y
22314570,Antipyretic activity of N-acetylcysteine,"Wrotek S, Jedrzejewski T, Potera-Kram E, Kozak W.",J Physiol Pharmacol. 2011 Dec;62(6):669-75.,Wrotek S,J Physiol Pharmacol,2011,2/9/12,,,
22803723,Physiological mechanisms of imprinting and homing migration in Pacific salmon Oncorhynchus spp,Ueda H.,J Fish Biol. 2012 Jul;81(2):543-58. doi: 10.1111/j.1095-8649.2012.03354.x. Epub 2012 Jun 11.,Ueda H,J Fish Biol,2012,7/19/12,,,10.1111/j.1095-8649.2012.03354.x
35229719,Ecological and social pressures interfere with homeostatic sleep regulation in the wild,"Loftus JC, Harel R, Núñez CL, Crofoot MC.",Elife. 2022 Mar 1;11:e73695. doi: 10.7554/eLife.73695.,Loftus JC,Elife,2022,3/1/22,PMC8887896,,10.7554/eLife.73695
36365880,Design of a Novel Compact MICS Band PIFA Antenna for Implantable Biotelemetry Applications,"Huang Z, Wu H, Mahmoud SS, Fang Q.",Sensors (Basel). 2022 Oct 26;22(21):8182. doi: 10.3390/s22218182.,Huang Z,Sensors (Basel),2022,11/11/22,PMC9655306,,10.3390/s22218182
29888145,A Community-Based IoT Personalized Wireless Healthcare Solution Trial,"Catherwood PA, Steele D, Little M, Mccomb S, Mclaughlin J.",IEEE J Transl Eng Health Med. 2018 May 8;6:2800313. doi: 10.1109/JTEHM.2018.2822302. eCollection 2018.,Catherwood PA,IEEE J Transl Eng Health Med,2018,6/12/18,PMC5991865,,10.1109/JTEHM.2018.2822302
21558207,The role of wind-tunnel studies in integrative research on migration biology,"Engel S, Bowlin MS, Hedenström A.",Integr Comp Biol. 2010 Sep;50(3):323-35. doi: 10.1093/icb/icq063. Epub 2010 May 27.,Engel S,Integr Comp Biol,2010,5/12/11,,,10.1093/icb/icq063
35874548,How Reproducibility Will Accelerate Discovery Through Collaboration in Physio-Logging,"Czapanskiy MF, Beltran RS.",Front Physiol. 2022 Jul 8;13:917976. doi: 10.3389/fphys.2022.917976. eCollection 2022.,Czapanskiy MF,Front Physiol,2022,7/25/22,PMC9304648,,10.3389/fphys.2022.917976
24882157,Inhaled vasopressin increases sociability and reduces body temperature and heart rate in rats,"Ramos L, Hicks C, Caminer A, McGregor IS.",Psychoneuroendocrinology. 2014 Aug;46:46-51. doi: 10.1016/j.psyneuen.2014.04.013. Epub 2014 Apr 24.,Ramos L,Psychoneuroendocrinology,2014,6/3/14,,,10.1016/j.psyneuen.2014.04.013
35681927,First Unmanned Aerial Vehicle Observation of Epimeletic Behavior in Indo-Pacific Humpback Dolphins,"Chung TY, Ho HH, Tsui HC, Kot BC.",Animals (Basel). 2022 Jun 5;12(11):1463. doi: 10.3390/ani12111463.,Chung TY,Animals (Basel),2022,6/10/22,PMC9179299,,10.3390/ani12111463
35883230,"Movement, Space Use, and the Responses of Coral Reef Fish to Climate Change",Manning JC.,Integr Comp Biol. 2022 Dec 30;62(6):1725-1733. doi: 10.1093/icb/icac128.,Manning JC,Integr Comp Biol,2022,7/26/22,,,10.1093/icb/icac128
34236960,Leveraging On-Chip Transistor Switching for Communication and Sensing in Neural Implants and Gastrointestinal Devices,"Sangodoyin S, Ugurlu E, Dey M, Prvulovic M, Zajic A.",IEEE Trans Biomed Eng. 2022 Jan;69(1):377-389. doi: 10.1109/TBME.2021.3094543. Epub 2021 Dec 23.,Sangodoyin S,IEEE Trans Biomed Eng,2022,7/8/21,,,10.1109/TBME.2021.3094543
22954855,Pulse oximeter based mobile biotelemetry application,"Işik AH, Güler I.",Stud Health Technol Inform. 2012;181:197-201.,Işik AH,Stud Health Technol Inform,2012,9/8/12,,,
36123542,A novel method for identifying coded tags recorded on aquatic acoustic monitoring systems,"Lowe CD, Tregenza NJC, Allen CJ, Blow GE, Nuuttila H, Bertelli CM, Mendzil AF, Stamp T, Sheehan EV, Davies P, Gordon JCD, Bolland JD, Britton JR, Main R, Velterop R, Crundwell C, Schofield A, Clarke DRK.",Environ Monit Assess. 2022 Sep 20;194(11):806. doi: 10.1007/s10661-022-10500-2.,Lowe CD,Environ Monit Assess,2022,9/19/22,PMC9485084,,10.1007/s10661-022-10500-2
20144612,Physiological mechanism of homing migration in Pacific salmon from behavioral to molecular biological approaches,Ueda H.,Gen Comp Endocrinol. 2011 Jan 15;170(2):222-32. doi: 10.1016/j.ygcen.2010.02.003. Epub 2010 Feb 6.,Ueda H,Gen Comp Endocrinol,2011,2/11/10,,,10.1016/j.ygcen.2010.02.003
30654556,A Compact Broadband Antenna with Dual-Resonance for Implantable Devices,"Li R, Li B, Du G, Sun X, Sun H.",Micromachines (Basel). 2019 Jan 16;10(1):59. doi: 10.3390/mi10010059.,Li R,Micromachines (Basel),2019,1/19/19,PMC6356394,,10.3390/mi10010059
22291656,Respiratory component of the orienting reflex: a novel sensitive index of sensory-induced arousal in rats,"Nalivaiko E, Bondarenko E, Lidström A, Barry RJ.",Front Physiol. 2012 Jan 3;2:114. doi: 10.3389/fphys.2011.00114. eCollection 2011.,Nalivaiko E,Front Physiol,2012,2/1/12,PMC3250058,,10.3389/fphys.2011.00114
34822799,Ghrelin receptor antagonist attenuated sickness behavior and activation of HPA-axis induced by immunological challenge in male rats,"Paula DE Jr, Vilela FC, Giusti-Paiva A.",Life Sci. 2022 Jan 1;288:120173. doi: 10.1016/j.lfs.2021.120173. Epub 2021 Nov 23.,Paula DE Jr,Life Sci,2022,11/25/21,,,10.1016/j.lfs.2021.120173
36155429,A Multilevel Synchronized Optical Pulsed Modulation for High Efficiency Biotelemetry,"Di Patrizio Stanchieri G, De Marcellis A, Battisti G, Faccio M, Palange E, Constandinou TG.",IEEE Trans Biomed Circuits Syst. 2022 Sep 26;PP. doi: 10.1109/TBCAS.2022.3209542. Online ahead of print.,Di Patrizio Stanchieri G,IEEE Trans Biomed Circuits Syst,2022,9/26/22,,,10.1109/TBCAS.2022.3209542
33609055,Effects of obesity and diabesity on heart rhythm in the Zucker rat,"Sultan A, Jacobson M, Adeghate E, Oulhaj A, Shafiullah M, Qureshi A, Howarth FC.",Clin Exp Pharmacol Physiol. 2021 May;48(5):735-747. doi: 10.1111/1440-1681.13473. Epub 2021 Feb 20.,Sultan A,Clin Exp Pharmacol Physiol,2021,2/20/21,,,10.1111/1440-1681.13473
34580323,The influence of antenna gain and beamwidth used in OSSEUS in the screening process for osteoporosis,"Pinheiro BM, Campos ALPS, de Carvalho DDA, Cruz AS, de Medeiros Valentim RA, Veras NVR, Dos Santos JPQ.",Sci Rep. 2021 Sep 27;11(1):19148. doi: 10.1038/s41598-021-98204-4.,Pinheiro BM,Sci Rep,2021,9/28/21,PMC8476524,,10.1038/s41598-021-98204-4
16594298,Simple two-electrode biosignal amplifier,"Dobrev D, Neycheva T, Mudrov N.",Med Biol Eng Comput. 2005 Nov;43(6):725-30. doi: 10.1007/BF02430949.,Dobrev D,Med Biol Eng Comput,2005,4/6/06,,,10.1007/BF02430949
12115901,"Na(+), Cl(-), Ca(2+) and Zn(2+) transport by fish gills: retrospective review and prospective synthesis",Marshall WS.,J Exp Zool. 2002 Aug 1;293(3):264-83. doi: 10.1002/jez.10127.,Marshall WS,J Exp Zool,2002,7/13/02,,,10.1002/jez.10127
30450492,Four-Wire Interface ASIC for a Multi-Implant Link,"Ghoreishizadeh SS, Haci D, Liu Y, Donaldson N, Constandinou TG.",IEEE Trans Circuits Syst I Regul Pap. 2017 Aug 15;64(12):3056-3067. doi: 10.1109/TCSI.2017.2731659. eCollection 2017 Dec.,Ghoreishizadeh SS,IEEE Trans Circuits Syst I Regul Pap,2017,11/20/18,PMC6054037,,10.1109/TCSI.2017.2731659
30299169,miR-155 deletion modulates lipopolysaccharide-induced sleep in female mice,"Surbhi, Borniger JC, Russart KLG, Zhang N, Magalang UJ, Nelson RJ.",Chronobiol Int. 2019 Feb;36(2):188-202. doi: 10.1080/07420528.2018.1525617. Epub 2018 Oct 9.,Surbhi,Chronobiol Int,2019,10/10/18,,,10.1080/07420528.2018.1525617
35767253,Clinical and Quality-of-Life Outcomes Following Invasive vs Conservative Treatment of Patients With Chronic Coronary Disease Across the Spectrum of Kidney Function,"Bangalore S, Hochman JS, Stevens SR, Jones PG, Spertus JA, O'Brien SM, Reynolds HR, Boden WE, Fleg JL, Williams DO, Stone GW, Sidhu MS, Mathew RO, Chertow GM, Maron DJ.",JAMA Cardiol. 2022 Aug 1;7(8):825-835. doi: 10.1001/jamacardio.2022.1763.,Bangalore S,JAMA Cardiol,2022,6/29/22,PMC9244774,,10.1001/jamacardio.2022.1763
28747734,Reducing Animal Use with a Biotelemetry-Enhanced Murine Model of Sepsis,"Lewis A, Zuckerbraun B, Griepentrog J, Zhang X, Rosengart M.",Sci Rep. 2017 Jul 26;7(1):6622. doi: 10.1038/s41598-017-05497-5.,Lewis A,Sci Rep,2017,7/28/17,PMC5529427,,10.1038/s41598-017-05497-5
29369056,Prompt Administration of Antibiotics and Fluids in the Treatment of Sepsis: A Murine Trial,"Lewis AJ, Griepentrog JE, Zhang X, Angus DC, Seymour CW, Rosengart MR.",Crit Care Med. 2018 May;46(5):e426-e434. doi: 10.1097/CCM.0000000000003004.,Lewis AJ,Crit Care Med,2018,1/26/18,PMC5899032,NIHMS933027,10.1097/CCM.0000000000003004
29735939,An Ultra-Low-Power RFID/NFC Frontend IC Using 0.18 μm CMOS Technology for Passive Tag Applications,"Bhattacharyya M, Gruenwald W, Jansen D, Reindl L, Aghassi-Hagmann J.",Sensors (Basel). 2018 May 7;18(5):1452. doi: 10.3390/s18051452.,Bhattacharyya M,Sensors (Basel),2018,5/9/18,PMC5982218,,10.3390/s18051452
34322323,"Lots of movement, little progress: a review of reptile home range literature","Crane M, Silva I, Marshall BM, Strine CT.",PeerJ. 2021 Jul 20;9:e11742. doi: 10.7717/peerj.11742. eCollection 2021.,Crane M,PeerJ,2021,7/29/21,PMC8300531,,10.7717/peerj.11742
23851627,Mouse short- and long-term locomotor activity analyzed by video tracking software,"York JM, Blevins NA, McNeil LK, Freund GG.",J Vis Exp. 2013 Jun 20;(76):50252. doi: 10.3791/50252.,York JM,J Vis Exp,2013,7/16/13,PMC3727868,,10.3791/50252
34941892,The impact of bio-logging on body weight change of the Eurasian beaver,"Robstad CA, Lodberg-Holm HK, Mayer M, Rosell F.",PLoS One. 2021 Dec 23;16(12):e0261453. doi: 10.1371/journal.pone.0261453. eCollection 2021.,Robstad CA,PLoS One,2021,12/23/21,PMC8699976,,10.1371/journal.pone.0261453
